Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,5.040000,5.060000,4.990000,5.000000,4.572813,205078202
2017-06-20,5.000000,5.060000,4.980000,5.040000,4.609395,196928148
2017-06-21,5.050000,5.060000,5.010000,5.050000,4.618541,114963498
2017-06-22,5.050000,5.180000,5.040000,5.100000,4.664269,312153830
2017-06-23,5.100000,5.150000,5.060000,5.140000,4.700851,163591643
2017-06-26,5.130000,5.240000,5.070000,5.110000,4.673415,302039258
2017-06-27,5.100000,5.120000,5.060000,5.090000,4.655124,210133173
2017-06-28,5.090000,5.150000,5.060000,5.070000,4.636832,245079211
2017-06-29,5.090000,5.190000,5.080000,5.180000,4.737434,181493451
2017-06-30,5.160000,5.250000,5.140000,5.250000,4.801454,204193364
2017-07-03,5.240000,5.270000,5.220000,5.240000,4.792307,99661565
2017-07-04,5.240000,5.280000,5.180000,5.250000,4.801454,135732005
2017-07-05,5.240000,5.250000,5.200000,5.230000,4.783162,104258199
2017-07-06,5.210000,5.260000,5.210000,5.230000,4.783162,107456856
2017-07-07,5.230000,5.230000,5.190000,5.210000,4.764871,162110054
2017-07-10,5.210000,5.240000,5.180000,5.230000,4.783162,139879018
2017-07-11,5.000000,5.080000,4.970000,5.060000,4.844727,248928284
2017-07-12,5.060000,5.150000,5.050000,5.080000,4.863875,219835288
2017-07-13,5.100000,5.190000,5.090000,5.160000,4.940472,210364710
2017-07-14,5.170000,5.190000,5.140000,5.170000,4.950047,91906757
2017-07-17,5.190000,5.370000,5.170000,5.340000,5.112814,317888285
2017-07-18,5.290000,5.380000,5.250000,5.280000,5.055367,184737254
2017-07-19,5.270000,5.350000,5.230000,5.270000,5.045792,240727881
2017-07-20,5.270000,5.300000,5.220000,5.290000,5.064941,175480490
2017-07-21,5.280000,5.360000,5.270000,5.330000,5.103240,126338183
2017-07-24,5.320000,5.440000,5.320000,5.390000,5.160686,171122778
2017-07-25,5.400000,5.580000,5.400000,5.480000,5.246858,244455684
2017-07-26,5.480000,5.660000,5.460000,5.600000,5.361753,224449400
2017-07-27,5.570000,5.590000,5.480000,5.530000,5.294731,182652326
2017-07-28,5.510000,5.600000,5.420000,5.550000,5.313880,147287262
2017-07-31,5.530000,5.590000,5.500000,5.510000,5.275582,122622128
2017-08-01,5.510000,5.560000,5.510000,5.560000,5.323454,139179506
2017-08-02,5.560000,5.700000,5.550000,5.700000,5.457498,220963054
2017-08-03,5.700000,5.780000,5.610000,5.660000,5.419200,160567260
2017-08-04,5.630000,5.680000,5.610000,5.670000,5.428774,113675380
2017-08-07,5.640000,5.680000,5.560000,5.660000,5.419200,110553683
2017-08-08,5.630000,5.710000,5.560000,5.680000,5.438349,118299803
2017-08-09,5.650000,5.670000,5.520000,5.540000,5.304305,138563730
2017-08-10,5.540000,5.570000,5.430000,5.520000,5.285156,155640428
2017-08-11,5.460000,5.570000,5.390000,5.550000,5.313880,222530160
2017-08-14,5.500000,5.550000,5.440000,5.490000,5.256432,146266383
2017-08-15,5.490000,5.700000,5.490000,5.610000,5.371327,260186392
2017-08-16,5.610000,5.700000,5.550000,5.630000,5.390476,145172010
2017-08-17,5.630000,5.660000,5.580000,5.620000,5.380901,60567130
